        FltTime          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL         Ascent
              s            hPa             °C              %            m/s              °              m          m/min
------------------------------------------------------------------------------------------------------------------------
            0.0         981.76         +23.21          65.58            1.0            190            0.0              0
            1.0         980.38         +23.00          66.05            7.1            166           12.3            276
            2.0         980.01         +22.98          66.36            7.3            166           15.6            282
            3.0         979.43         +22.96          66.33            7.5            167           20.8            283
            4.0         979.20         +22.92          66.39            7.6            167           22.8            284
            5.0         978.75         +22.87          66.45            7.8            168           26.8            283
            6.0         978.40         +22.84          66.51            8.0            168           30.0            281
            7.0         977.99         +22.81          66.51            8.1            168           33.6            277
            8.0         977.57         +22.87          66.39            8.2            169           37.4            275
            9.0         977.12         +22.85          66.33            8.4            169           41.4            270
           10.0         976.67         +22.84          66.42            8.5            169           45.4            265
           11.0         976.09         +22.80          66.54            8.6            170           50.6            238
           12.0         975.44         +22.67          66.72            8.7            170           56.4            238
           13.0         974.88         +22.68          66.92            8.9            170           61.4            233
           14.0         974.35         +22.64          67.00            9.0            171           66.2            241
           15.0         973.83         +22.62          67.11            9.1            171           70.8            244
           16.0         973.36         +22.54          67.21            9.2            171           75.0            250
           17.0         972.96         +22.52          67.44            9.4            171           78.6            254
           18.0         972.54         +22.47          67.57            9.5            171           82.4            259
           19.0         972.18         +22.43          67.61            9.6            171           85.5            261
           20.0         971.87         +22.41          67.79            9.8            172           88.3            263
           21.0         971.51         +22.37          67.84           10.2            172           91.5            262
           22.0         971.13         +22.34          67.90           10.5            172           94.9            259
           23.0         970.73         +22.34          67.96           10.8            172           98.5            257
           24.0         970.22         +22.31          67.99           11.1            173          103.1            256
           25.0         969.66         +22.31          68.11           11.3            173          108.1            255
           26.0         969.11         +22.26          68.22           11.5            173          113.1            254
           27.0         968.53         +22.18          68.38           11.8            174          118.3            256
           28.0         967.95         +22.12          68.46           12.0            174          123.5            258
           29.0         967.42         +22.12          68.57           12.2            175          128.3            263
           30.0         966.89         +22.15          68.47           12.4            175          133.1            269
           31.0         966.35         +22.12          68.50           12.6            175          137.9            274
           32.0         965.84         +22.08          68.59           12.7            176          142.5            278
           33.0         965.33         +22.07          68.64           12.9            176          147.1            284
           34.0         964.85         +22.05          68.68           13.0            177          151.5            286
           35.0         964.38         +22.04          68.82           13.1            177          155.7            287
           36.0         963.94         +21.96          68.97           13.2            177          159.7            290
           37.0         963.47         +21.91          69.15           13.3            177          163.9            292
           38.0         962.99         +21.84          69.38           13.5            178          168.3            292
           39.0         962.45         +21.80          69.58           13.6            178          173.1            294
           40.0         961.92         +21.75          69.73           13.7            178          177.9            296
           41.0         961.39         +21.72          69.92           13.8            178          182.7            298
           42.0         960.84         +21.67          69.99           13.9            178          187.7            302
           43.0         960.24         +21.63          70.17           13.9            179          193.1            306
           44.0         959.65         +21.57          70.40           14.0            179          198.5            310
           45.0         959.05         +21.54          70.57           14.0            179          203.9            315
           46.0         958.39         +21.43          70.78           14.1            179          209.9            320
           47.0         957.77         +21.47          70.90           14.2            180          215.5            324
           48.0         957.20         +21.48          70.93           14.3            180          220.7            326
           49.0         956.58         +21.46          71.02           14.3            180          226.3            328
           50.0         955.97         +21.41          71.03           14.4            180          231.9            330
           51.0         955.37         +21.41          71.23           14.4            180          237.3            331
           52.0         954.74         +21.40          71.29           14.5            180          243.0            331
           53.0         954.08         +21.38          71.35           14.5            181          249.0            329
           54.0         953.44         +21.33          71.47           14.5            181          254.8            328
           55.0         952.80         +21.29          71.71           14.6            181          260.6            326
           56.0         952.19         +21.23          71.92           14.6            181          266.2            324
           57.0         951.58         +21.10          72.17           14.6            182          271.8            323
           58.0         951.01         +21.11          72.38           14.6            182          277.0            324
           59.0         950.42         +21.05          72.42           14.6            182          282.4            324
           60.0         949.82         +21.01          72.62           14.6            183          287.8            323
           61.0         949.26         +20.96          72.86           14.6            183          293.0            323
           62.0         948.73         +20.89          73.05           14.6            183          297.8            322
           63.0         948.18         +20.80          73.26           14.6            184          302.8            320
           64.0         947.66         +20.79          73.48           14.6            184          307.6            317
           65.0         947.11         +20.75          73.61           14.6            184          312.6            315
           66.0         946.54         +20.71          73.78           14.6            184          317.8            313
           67.0         945.96         +20.60          73.98           14.6            185          323.2            310
           68.0         945.37         +20.61          74.25           14.6            185          328.6            308
           69.0         944.76         +20.57          74.33           14.6            185          334.2            305
           70.0         944.17         +20.52          74.50           14.6            186          339.6            302
           71.0         943.58         +20.44          74.68           14.6            186          345.0            301
           72.0         942.99         +20.39          74.98           14.6            186          350.4            302
           73.0         942.42         +20.34          75.16           14.7            186          355.6            303
           74.0         941.88         +20.29          75.32           14.7            187          360.6            304
           75.0         941.34         +20.28          75.60           14.7            187          365.6            305
           76.0         940.81         +20.24          75.80           14.7            187          370.4            305
           77.0         940.32         +20.21          75.95           14.7            188          375.0            304
           78.0         939.79         +20.19          76.03           14.7            188          379.8            303
           79.0         939.32         +20.11          76.16           14.7            188          384.2            303
           80.0         938.84         +20.08          76.32           14.7            188          388.6            304
           81.0         938.32         +20.05          76.47           14.8            189          393.3            303
           82.0         937.75         +20.01          76.73           14.8            189          398.5            302
           83.0         937.19         +19.97          76.87           14.8            189          403.7            302
           84.0         936.63         +19.90          77.03           14.8            190          408.9            301
           85.0         936.06         +19.88          77.27           14.8            190          414.1            300
           86.0         935.50         +19.83          77.45           14.9            190          419.3            300
           87.0         934.96         +19.79          77.64           14.9            190          424.3            301
           88.0         934.40         +19.76          77.83           14.9            190          429.5            301
           89.0         933.79         +19.72          78.05           15.0            191          435.1            302
           90.0         933.19         +19.67          78.23           15.0            191          440.7            302
           91.0         932.63         +19.62          78.43           15.0            191          445.9            302
           92.0         932.06         +19.55          78.59           15.1            191          451.1            300
           93.0         931.53         +19.52          78.74           15.1            192          456.1            297
           94.0         931.01         +19.47          78.92           15.1            192          460.9            294
           95.0         930.51         +19.43          79.15           15.2            192          465.5            292
           96.0         929.99         +19.38          79.28           15.2            192          470.3            291
           97.0         929.48         +19.34          79.45           15.3            192          475.1            292
           98.0         928.96         +19.30          79.73           15.3            193          479.9            293
           99.0         928.44         +19.24          79.94           15.4            193          484.7            293
          100.0         927.95         +19.17          80.14           15.4            193          489.3            292
          101.0         927.45         +19.14          80.34           15.4            193          493.9            290
          102.0         926.96         +19.10          80.45           15.4            194          498.5            286
          103.0         926.51         +19.08          80.67           15.4            194          502.7            283
          104.0         926.06         +19.03          80.80           15.4            194          506.9            281
          105.0         925.56         +18.98          80.98           15.4            194          511.5            280
          106.0         925.05         +18.94          81.10           15.5            194          516.3            280
          107.0         924.47         +18.88          81.36           15.5            194          521.7            281
          108.0         923.87         +18.85          81.56           15.4            194          527.3            283
          109.0         923.29         +18.79          81.71           15.4            195          532.6            284
          110.0         922.73         +18.74          82.05           15.4            195          537.8            286
          111.0         922.24         +18.68          82.25           15.4            195          542.4            286
          112.0         921.81         +18.57          82.49           15.4            195          546.4            284
          113.0         921.38         +18.59          82.63           15.4            195          550.4            284
          114.0         920.95         +18.57          82.63           15.4            195          554.4            285
          115.0         920.51         +18.53          82.83           15.4            195          558.6            286
          116.0         919.97         +18.48          83.00           15.5            195          563.6            286
          117.0         919.41         +18.44          83.14           15.5            195          568.8            284
          118.0         918.86         +18.41          83.20           15.5            195          574.0            284
          119.0         918.28         +18.37          83.37           15.5            195          579.4            284
          120.0         917.75         +18.34          83.53           15.5            196          584.4            286
          121.0         917.26         +18.28          83.76           15.5            196          589.0            289
          122.0         916.81         +18.19          83.90           15.5            196          593.2            292
          123.0         916.36         +18.23          83.91           15.5            196          597.4            295
          124.0         915.89         +18.18          83.86           15.5            196          601.8            298
          125.0         915.38         +18.16          84.07           15.5            196          606.6            299
          126.0         914.87         +18.06          84.26           15.6            196          611.4            299
          127.0         914.34         +18.04          84.48           15.6            196          616.4            301
          128.0         913.76         +18.00          84.68           15.6            196          621.8            301
          129.0         913.19         +17.94          84.85           15.6            196          627.2            300
          130.0         912.57         +17.89          85.17           15.6            197          633.0            300
          131.0         911.98         +17.84          85.37           15.6            197          638.6            301
          132.0         911.43         +17.78          85.59           15.6            197          643.8            303
          133.0         910.90         +17.74          85.77           15.7            197          648.8            307
          134.0         910.39         +17.72          85.86           15.7            197          653.6            312
          135.0         909.90         +17.68          86.06           15.7            198          658.1            316
          136.0         909.35         +17.63          86.26           15.7            198          663.3            320
          137.0         908.75         +17.57          86.46           15.7            198          668.9            324
          138.0         908.20         +17.52          86.84           15.7            198          674.1            326
          139.0         907.65         +17.47          86.97           15.8            198          679.3            326
          140.0         907.12         +17.43          87.17           15.8            199          684.3            323
          141.0         906.62         +17.38          87.33           15.8            199          689.1            322
          142.0         906.09         +17.34          87.47           15.8            199          694.1            322
          143.0         905.50         +17.32          87.54           15.9            199          699.7            322
          144.0         904.86         +17.27          87.75           15.9            199          705.7            323
          145.0         904.21         +17.23          87.99           16.0            199          711.9            326
          146.0         903.55         +17.17          88.18           16.0            199          718.1            325
          147.0         902.90         +17.11          88.59           16.1            199          724.3            321
          148.0         902.27         +17.06          88.92           16.1            199          730.3            319
          149.0         901.70         +17.00          89.05           16.2            200          735.7            316
          150.0         901.17         +16.97          89.28           16.2            200          740.7            313
          151.0         900.63         +16.91          89.42           16.3            200          745.9            312
          152.0         900.08         +16.88          89.55           16.4            200          751.1            310
          153.0         899.55         +16.84          89.62           16.4            200          756.1            308
          154.0         899.01         +16.79          89.60           16.5            201          761.3            306
          155.0         898.44         +16.75          89.77           16.5            201          766.7            302
          156.0         897.94         +16.70          89.82           16.6            201          771.5            297
          157.0         897.47         +16.66          89.96           16.6            201          775.9            293
          158.0         897.01         +16.62          90.30           16.7            201          780.3            287
          159.0         896.57         +16.57          90.31           16.7            201          784.4            284
          160.0         896.13         +16.52          90.18           16.8            202          788.6            283
          161.0         895.67         +16.51          89.92           16.9            202          793.0            283
          162.0         895.21         +16.48          88.96           16.9            202          797.4            283
